a,b,c
Alexander Peartree,Aglianico                 ,84
Alexander Peartree,Albariño                 ,86
Alexander Peartree,Auxerrois                 ,87
Alexander Peartree,Barbera                   ,85
Alexander Peartree,Blanc du Bois             ,85
Alexander Peartree,Bordeaux-style Red Blend  ,86
Alexander Peartree,Cabernet Franc            ,86
Alexander Peartree,Cabernet Franc-Merlot     ,89
Alexander Peartree,Cabernet Merlot           ,85
Alexander Peartree,Cabernet Sauvignon        ,86
Alexander Peartree,Carmenère                ,84
Alexander Peartree,Champagne Blend           ,85
Alexander Peartree,Chardonnay                ,85
Alexander Peartree,Cinsault                  ,86
Alexander Peartree,Fumé Blanc               ,84
Alexander Peartree,G-S-M                     ,83
Alexander Peartree,Gamay                     ,87
Alexander Peartree,Gewürztraminer           ,85
Alexander Peartree,Grüner Veltliner         ,86
Alexander Peartree,Jacquez                   ,85
Alexander Peartree,Lemberger                 ,87
Alexander Peartree,Malbec                    ,87
Alexander Peartree,Meritage                  ,87
Alexander Peartree,Merlot                    ,85
Alexander Peartree,Merlot-Cabernet Franc     ,88
Alexander Peartree,Montepulciano             ,84
Alexander Peartree,Mourvèdre                ,85
Alexander Peartree,Nebbiolo                  ,84
Alexander Peartree,Nero d'Avola              ,86
Alexander Peartree,Petit Manseng             ,84
Alexander Peartree,Petit Verdot              ,86
Alexander Peartree,Petite Sirah              ,84
Alexander Peartree,Pinot Blanc               ,85
Alexander Peartree,Pinot Grigio              ,83
Alexander Peartree,Pinot Gris                ,84
Alexander Peartree,Pinot Noir                ,87
Alexander Peartree,Pinotage                  ,87
Alexander Peartree,Piquepoul Blanc           ,88
Alexander Peartree,Port                      ,84
Alexander Peartree,Primitivo                 ,85
Alexander Peartree,Red Blend                 ,86
Alexander Peartree,Rhône-style Red Blend    ,86
Alexander Peartree,Riesling                  ,86
Alexander Peartree,Rkatsiteli                ,83
Alexander Peartree,Rosé                     ,85
Alexander Peartree,Roussanne                 ,85
Alexander Peartree,Sangiovese                ,84
Alexander Peartree,Sauvignon Blanc           ,86
Alexander Peartree,Sherry                    ,86
Alexander Peartree,Sparkling Blend           ,85
Alexander Peartree,Syrah                     ,85
Alexander Peartree,Syrah-Viognier            ,84
Alexander Peartree,Tannat                    ,88
Alexander Peartree,Tempranillo               ,86
Alexander Peartree,Touriga                   ,90
Alexander Peartree,Touriga Nacional          ,84
Alexander Peartree,Traminette                ,84
Alexander Peartree,Trebbiano                 ,86
Alexander Peartree,Vermentino                ,84
Alexander Peartree,Vignoles                  ,88
Alexander Peartree,Viognier                  ,85
Alexander Peartree,White Blend               ,83
Anna Lee C. Iijima,Albariño                 ,85
Anna Lee C. Iijima,Auxerrois                 ,89
Anna Lee C. Iijima,Bacchus                   ,91
Anna Lee C. Iijima,Baco Noir                 ,86
Anna Lee C. Iijima,Barbera                   ,84
Anna Lee C. Iijima,Blauer Portugieser        ,86
Anna Lee C. Iijima,Blaufränkisch            ,87
Anna Lee C. Iijima,Bordeaux-style Red Blend  ,87
Anna Lee C. Iijima,Cabernet Franc            ,87
Anna Lee C. Iijima,Cabernet Franc-Cabernet Sa,86
Anna Lee C. Iijima,Cabernet Franc-Lemberger  ,87
Anna Lee C. Iijima,Cabernet Franc-Merlot     ,89
Anna Lee C. Iijima,Cabernet Moravia          ,85
Anna Lee C. Iijima,Cabernet Sauvignon        ,87
Anna Lee C. Iijima,Cabernet Sauvignon-Merlot ,87
Anna Lee C. Iijima,Cabernet-Syrah            ,88
Anna Lee C. Iijima,Carmenère                ,92
Anna Lee C. Iijima,Cayuga                    ,85
Anna Lee C. Iijima,Chambourcin               ,85
Anna Lee C. Iijima,Champagne Blend           ,89
Anna Lee C. Iijima,Chardonnay                ,86
Anna Lee C. Iijima,Chardonnay-Riesling       ,87
Anna Lee C. Iijima,Chardonnay-Viognier       ,83
Anna Lee C. Iijima,Chelois                   ,85
Anna Lee C. Iijima,Chenin Blanc              ,90
Anna Lee C. Iijima,Chinuri                   ,87
Anna Lee C. Iijima,Diamond                   ,86
Anna Lee C. Iijima,Dornfelder                ,85
Anna Lee C. Iijima,Elbling                   ,87
Anna Lee C. Iijima,Feteasca Neagra           ,87
Anna Lee C. Iijima,Feteascǎ Regalǎ         ,87
Anna Lee C. Iijima,Früburgunder             ,90
Anna Lee C. Iijima,Furmint                   ,86
Anna Lee C. Iijima,Gamay Noir                ,88
Anna Lee C. Iijima,Gewürztraminer           ,87
Anna Lee C. Iijima,Gewürztraminer-Riesling  ,87
Anna Lee C. Iijima,Grauburgunder             ,88
Anna Lee C. Iijima,Grenache                  ,88
Anna Lee C. Iijima,Grüner Veltliner         ,86
Anna Lee C. Iijima,Irsai Oliver              ,87
Anna Lee C. Iijima,Kekfrankos                ,87
Anna Lee C. Iijima,Lemberger                 ,87
Anna Lee C. Iijima,Malbec                    ,88
Anna Lee C. Iijima,Malbec-Merlot             ,86
Anna Lee C. Iijima,Malvasia                  ,86
Anna Lee C. Iijima,Malvasia Istriana         ,87
Anna Lee C. Iijima,Marquette                 ,84
Anna Lee C. Iijima,Mavrud                    ,84
Anna Lee C. Iijima,Meritage                  ,87
Anna Lee C. Iijima,Merlot                    ,87
Anna Lee C. Iijima,Merlot-Cabernet           ,89
Anna Lee C. Iijima,Merlot-Cabernet Franc     ,87
Anna Lee C. Iijima,Montepulciano             ,86
Anna Lee C. Iijima,Moscato                   ,85
Anna Lee C. Iijima,Mtsvane                   ,90
Anna Lee C. Iijima,Muscat                    ,88
Anna Lee C. Iijima,Muskat Ottonel            ,86
Anna Lee C. Iijima,Muskateller               ,86
Anna Lee C. Iijima,Müller-Thurgau           ,90
Anna Lee C. Iijima,Okuzgozu                  ,88
Anna Lee C. Iijima,Petit Verdot              ,88
Anna Lee C. Iijima,Petite Verdot             ,88
Anna Lee C. Iijima,Pinot Blanc               ,87
Anna Lee C. Iijima,Pinot Grigio              ,86
Anna Lee C. Iijima,Pinot Grigio-Sauvignon Bla,87
Anna Lee C. Iijima,Pinot Gris                ,87
Anna Lee C. Iijima,Pinot Noir                ,88
Anna Lee C. Iijima,Plavac Mali               ,87
Anna Lee C. Iijima,Posip                     ,88
Anna Lee C. Iijima,Red Blend                 ,87
Anna Lee C. Iijima,Ribolla Gialla            ,84
Anna Lee C. Iijima,Rieslaner                 ,89
Anna Lee C. Iijima,Riesling                  ,89
Anna Lee C. Iijima,Riesling-Chardonnay       ,94
Anna Lee C. Iijima,Rivaner                   ,86
Anna Lee C. Iijima,Rkatsiteli                ,87
Anna Lee C. Iijima,Rosato                    ,88
Anna Lee C. Iijima,Rosé                     ,87
Anna Lee C. Iijima,Sangiovese                ,85
Anna Lee C. Iijima,Saperavi                  ,86
Anna Lee C. Iijima,Saperavi-Merlot           ,84
Anna Lee C. Iijima,Sauvignon                 ,87
Anna Lee C. Iijima,Sauvignon Blanc           ,87
Anna Lee C. Iijima,Sauvignon Blanc-Semillon  ,90
Anna Lee C. Iijima,Scheurebe                 ,88
Anna Lee C. Iijima,Schwartzriesling          ,90
Anna Lee C. Iijima,Seyval Blanc              ,84
Anna Lee C. Iijima,Shiraz                    ,86
Anna Lee C. Iijima,Silvaner                  ,89
Anna Lee C. Iijima,Sparkling Blend           ,87
Anna Lee C. Iijima,Spätburgunder            ,90
Anna Lee C. Iijima,St. Laurent               ,87
Anna Lee C. Iijima,Syrah                     ,87
Anna Lee C. Iijima,Syrah-Cabernet            ,85
Anna Lee C. Iijima,Syrah-Grenache            ,86
Anna Lee C. Iijima,Sémillon                 ,89
